,Species,TankUsageVariance
0,Abactochromis labrosus,162.84
1,Maylandia faiaziberi (Maison Reef),41.39
2,"Metriaclima sp. ""Daktari"" (Hai reef)",9.83
3,Tropheops Kumwera,1.02
