,Species,Corner/NotCorner,Top/Bottom,Side/Center
0,Abactochromis labrosus,Corner,Top,Side
1,Maylandia faiaziberi (Maison Reef),Corner,Top,Side
2,"Metriaclima sp. ""Daktari"" (Hai reef)",Corner,Bottom,Center
3,Tropheops Kumwera,Middle,Top,Center
