,Species,TankUsageVariance
0,Abactochromis labrosus,15.07
1,Maylandia faiaziberi (Maison Reef),31.44
2,"Metriaclima sp. ""Daktari"" (Hai reef)",11.19
3,Tropheops Kumwera,2.13
