Species,Stop_%,Stop_SD,Stop_SE
Abactochromis labrosus,0.5212310179884259,0.004616200707432168,0.002064427715920189
Maylandia faiaziberi (Maison Reef),0.2558083326319444,0.007061814080397191,0.003158139265646657
"Metriaclima sp. ""Daktari"" (Hai reef)",0.0064265431782407414,0.003349580764427949,0.0014979780570773206
Tropheops Kumwera,0.016106867217881946,0.01275970777984223,0.004511237948542593
