Species,Stop_%,Stop_SD,Stop_SE
Abactochromis labrosus,0.05121058623564815,0.025206113641613258,0.011272516710246403
Maylandia faiaziberi (Maison Reef),0.18007154257592592,0.08508588214508246,0.038051563280388
"Metriaclima sp. ""Daktari"" (Hai reef)",0.0033800925777777774,0.0030765163927619975,0.0013758599576216535
Tropheops Kumwera,0.034949999859375004,0.02786531305384406,0.009851875910129579
