Species,Stop_%,Stop_SD,Stop_SE
Abactochromis labrosus,0.5506047394206349,0.15761750463864851,0.07048869096318129
Maylandia faiaziberi (Maison Reef),0.13051779075958994,0.03490170326249457,0.015608516205092807
"Metriaclima sp. ""Daktari"" (Hai reef)",0.004861772462301588,0.0036287375717617043,0.0016228207765933383
Tropheops Kumwera,0.002647486759672619,0.0024941201019504163,0.0008818046185914112
